1703827013576,发言,,唤醒

1703827014358,主播,Fay,您好，我是兰红数字人助理，有什么可以帮您？

1703827021514,发言,,拍得到人的状态

1703827022490,主播,Fay,目前我是一个数字助手，没有感受或状态来拍摄照片。


1703827035805,发言,,你好

1703827043197,发言,,现在他就不会互动了

1703827063403,发言,,哎哦开启

1703827065458,主播,Fay,"哎哦开启"是指在智能语音交互系统中使用语音指令开启语音输入。在转录过程中，如果用户的语音无法袾准转录或转录结果不准确，用户可以自行重启转录。


1703827087367,发言,,盐城有什么农产品

1703827091383,主播,Fay,盐城市盐都区是国家农业部公布的“中国优质盐生产基地”，因其独特的地理位置和气候条件，具有得天独厚的优势，盐城市之所以享有“东方硒都”的美誉，是因为盐城市的锁阳毛尖茶园在全国茶叶产业中占得重要位置，尤其是“盐连固有机茶园”更是全国顶级的茶叶产地，这里的绿茶、红茶、花茶、盐城市的农产品丰富多样，特产有盐、花、鱼，其中以咸鱼（盐城市盐区），菜华莼菜，盐城大闸蟹、红砂糖、盐精香（盐城市盐区）、固元（东台市），焖烧砂锅、姜豆酱、姜糖料、榨菜、鸭蛋（盐城市阜宁）等90多种特产享有名誉。


1703827145833,发言,,就不会的现在摄像头没吵着

1703827156684,发言,,嗯有什么问题

1703827226823,发言,,唤醒

1703827226864,主播,Fay,您好，我是兰红数字人助理，有什么可以帮您？

1703827235677,发言,,期待有什么

1703827237979,主播,Fay,作为数字人，我被赋予了持续学习和知识共享的能力，可以帮助他人理解复杂的概念，解决问题，回答问题，做出推理，做出评论，提供解释，创造有用的东西，以及执行其他各种任务。


