1703740930241,发言,,Okay okay

1703740951767,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741054942,发言,,现在代理时候

1703741076098,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741086843,发言,,DI

1703741108373,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741118348,发言,,听得到听见

1703741139838,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741147227,发言,,Okay okay okay

1703741168896,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741177819,发言,,他肯定是第一位发票就

1703741199568,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741213896,发言,,CPU或者禁掉了三年时间为什么还是单

1703741235024,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741245488,发言,,403

1703741267295,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741294961,发言,,这是一个心跳跳跳都不跳了我靠

1703741315893,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741323212,发言,,是管理

1703741344466,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741352769,发言,,为什么来到房间

1703741373847,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741395930,发言,,哎呀这个要这个调一下如果你不调

1703741416843,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741427046,发言,,我觉得可以他们那不是显卡挺好的吗

1703741447836,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741455429,发言,,那笔记本

1703741476401,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741495077,发言,,赵光之规查看记显示计算机现在请求网络的

1703741516191,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741533527,发言,,Humor

1703741554378,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741561284,发言,,93年9月

1703741582146,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741601444,发言,,哦那我

1703741602665,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741615615,发言,,后天

1703741616785,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741629279,发言,,但小贤说

1703741650159,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741657403,发言,,没有操作

1703741678727,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741696149,发言,,没毛病啊

1703741717408,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741740686,发言,,对方是

1703741762481,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741776419,发言,,那你没有

1703741797951,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741821713,发言,,端口8255不行吗

1703741843038,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741891115,发言,,Okay okay

1703741912347,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741951508,发言,,我问

1703741972636,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703741983132,发言,,Ya

1703742004908,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742059393,发言,,就原件往哪去了感觉在我这

1703742081213,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742120404,发言,,Ya

1703742141493,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742182546,发言,,Field

1703742204166,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742218882,发言,,那么这个地方

1703742240439,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742248905,发言,,不能用吗嗯要要挂梯子才能用

1703742270317,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742286046,发言,,有没有技术

1703742286339,主播,Fay,qq467665317

1703742296934,发言,,我用的是这个去

1703742318605,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742331271,发言,,不需要代理了呀那还要什么代理啊用那个服务器的话就不需要就发给他请求就要给他请求就完了呀

1703742352481,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742360773,发言,,不对呀

1703742382363,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742416987,发言,,这个吗这个地方这个你是数字人费哦这个我改掉了嗯我这个这个我改掉哦没有改掉

1703742438655,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742456297,发言,,这个对吧你你就这个这个你你这个这个都不要你这个内内部全配好了是吧对对对配好了对对这个问题都配好了吗这这个不要了这个这个黑色的你要你要保证它的几个字段是一致的就是

1703742478117,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742490000,发言,,Content reply那那他把reply加上这个以后等于

1703742511177,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742525098,发言,,在这个地方呢你如果看了嘛这个地方他就把它拆成几句话了嘛拆成合成音频嘛就这个地方然后这个CC合成音频的那个

1703742546719,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742554575,发言,,要接收流速

1703742575783,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742587647,发言,,对你

1703742608861,主播,Fay,抱歉，我现在太忙了，休息一会，请稍后再试。

1703742620451,发言,,原本就要么就用这个试过了是吧那行啊那就就就几

